ID,fname,lname,age,dob,email,phonenumber,department_ID,salary_ID,designation_ID
29fc5eb-d7eb-4824-85c4-221026c60ddb,Ryka,Mital,26,1990-01-01,Ryka.Mital@xyz.com,9876754326,a3c85a0c-6073-4c7f-8468-1f3dd79bb8de,66c8f440-d3c9-4565-ba4d-d37086b47873,c5751e74-ef39-4135-a111-eb4b1b4d7f9a
455b744d-8e33-4ca5-ada1-91ce6c3447bc,Chiranjivi,Seshadri,28,1990-02-01,Chiranjivi.Seshadri@abc.com,8564543278,3e274a93-8681-4d89-9362-2a94f4089038,f64caecb-d699-450f-a8ba-47eef0e42abc,27e7121c-2860-4b1c-915c-9f46b2b4b95f
643ec8c0-b128-4af5-8a27-3c9d261fed10,Shresth,Majumdar,30,1987-01-01,Shresth.Majumdar@abc.com,9065754376,3e274a93-8681-4d89-9362-2a94f4089038,97475e75-ecfd-49a2-821f-6795807cec99,c5751e74-ef39-4135-a111-eb4b1b4d7f9a
c1fbef5f-8771-4c77-9f26-219470eb8935,Samarth,Joshi,45,1985-01-09,Samarth.Joshi@xyz.com,9878654532,a3c85a0c-6073-4c7f-8468-1f3dd79bb8de,6d88f481-d17d-42e4-b675-5e9a2a13ed85,27e7121c-2860-4b1c-915c-9f46b2b4b95f	
2239b1c7-acb3-42d1-b8af-8fd608446f92,Akhil,Shanker,35,1996-07-23,Akhil.Shanker@xyz.com,9870653654,3e274a93-8681-4d89-9362-2a94f4089038,1e0a262e-26a7-4af1-a911-23577687cfb9,c5751e74-ef39-4135-a111-eb4b1b4d7f9a
5f6de571-f161-4c40-9b12-def023bfd14f,Haiya,Luthra,24,1991-03-12,Haiya.Luthra@abc.com,9850998565	,a3c85a0c-6073-4c7f-8468-1f3dd79bb8de,8c304426-e2fd-4e0f-9c20-344d0f5cc3be,d516bea4-32bc-4b35-9d9b-afbbbf1ab021	
1787b9c5-42cd-4115-8360-829a19028f34,Minakshi,Ram,34,1990-04-02	,Minakshi.Ram@xyz.com.,9860983218,3e274a93-8681-4d89-9362-2a94f4089038,785d7097-ddf3-46a3-9c07-ff1cc13fca1a,d516bea4-32bc-4b35-9d9b-afbbbf1ab021
3342e4d1-7ea2-4720-9fbb-bc4e256763f5,Kamala,Trivedi,34,1989-01-23,Kamala.Trivedi@abc.com,6548798765	,a3c85a0c-6073-4c7f-8468-1f3dd79bb8de,e0c93cf5-4a02-479b-a5b3-eb0bf6ceb8e4,a029382f-6532-4089-9b3d-eefe54f0fa89	
f1804084-fa95-4017-987b-c06ac588800d,Navin,Deo,45, 1980-01-14,Navin.Deo@xyz.com,8967654987,3e274a93-8681-4d89-9362-2a94f4089038,76480d15-ec22-4cd5-b984-c889e12fd5e3,a029382f-6532-4089-9b3d-eefe54f0fa89	
e308aa5e-99e4-46f5-b0f8-7931a8becbde,Dinesh,Pradhan,35,1986-02-14,Dinesh.Pradhan@abc.com,9876345678,a3c85a0c-6073-4c7f-8468-1f3dd79bb8de,9cd9fb2b-b26b-4b6b-9454-c45f8819f2f6,d94bd7b7-3934-4e16-a553-fc7691e38231	
b84e92d9-53e7-4297-9b57-14db18665925,Sarita,Natt,30,1987-02-23,Sarita.Natt@xyz.com,7685439876,f8c28124-8fa6-464f-b2cd-41c689dfc075,64f98a19-c31e-4036-98e2-570cb3d6aef6,d94bd7b7-3934-4e16-a553-fc7691e38231	
144526fd-db7a-43e6-a0aa-63a1e9479ccb,Darika,Madan,32,1984-01-01,Darika.Madan@abc.com,8798098767,1a2326ad-9443-4b2a-93fa-b6fb2f4f00b3,5bc6fb7a-4a95-4dff-b398-9eb3ea21b6f7,b7a59886-16d0-47b3-a356-04dc932d0926	
b48a17aa-0b57-4d35-923a-5b47582889d9,Kanta,Datta,43,1994-01-24,Kanta.Datta@xyz.com,6587987865,f8c28124-8fa6-464f-b2cd-41c689dfc075,46714704-fc16-4c1e-9bf6-f500920133ae,5c4cd425-e2db-4efd-bf8a-28858cedfa24	
ba9086e5-96d4-4177-9459-a5bf4cd0a05c,Jayes,Ramesh,32,1992-10-23,Jayesh.Ramesh@xyz.com,8976897654,1a2326ad-9443-4b2a-93fa-b6fb2f4f00b3,ab61e2ea-1386-4c60-bd22-c65f8c8bc5e0,a44b6eed-4d75-44a0-b892-34762a885be4	
ef93e5fe-55a5-48db-b84d-68ca1cd39f20,Darsh,Muni,23,1993-11-03,Darsh.Muni@xyz.com,8987676567,35a81ef9-42a1-4546-ad6e-c8451f701bbf,a4a7ee55-fc55-46fb-9166-ccff5411f80e,5c4cd425-e2db-4efd-bf8a-28858cedfa24	
3fa6821e-c701-48ab-bea1-57a0fee7e94c,Abhay,Sabharwal,25,1992-01-26,Abhay.Sabharwal@abc.com,9845764534,7249cd09-4328-425c-8308-6adc5f8464cb,3b85fc31-9207-420d-b678-320da7ee20a9,61c00b00-8cfe-41e3-85c3-578a6a60b271	
